#Zeit; y_1
4,28;4,574159618
4,29;4,573270863
4,3;4,572365333
4,31;4,571443365
4,32;4,570505291
4,33;4,569551442
4,34;4,568582146
4,35;4,567597726
4,36;4,566598506
4,37;4,565584804
4,38;4,564556936
4,39;4,563515217
4,4;4,562459956
4,41;4,561391461
4,42;4,560310039
4,43;4,55921599
4,44;4,558109615
4,45;4,556991209
4,46;4,555861068
4,47;4,554719483
4,48;4,553566741
4,49;4,552403128
4,5;4,551228927
4,51;4,550044419
4,52;4,548849881
4,53;4,547645587
4,54;4,54643181
4,55;4,545208818
4,56;4,543976878
4,57;4,542736255
4,58;4,541487208
4,59;4,540229997
4,6;4,538964877
4,61;4,537692102
4,62;4,536411921
4,63;4,535124583
4,64;4,533830332
4,65;4,532529412
4,66;4,531222061
4,67;4,529908517
4,68;4,528589016
4,69;4,527263788
4,7;4,525933063
4,71;4,524597069
4,72;4,523256029
4,73;4,521910165
4,74;4,520559696
4,75;4,51920484
4,76;4,517845809
4,77;4,516482816
4,78;4,515116071
4,79;4,513745778
4,8;4,512372144
4,81;4,510995369
4,82;4,509615652
4,83;4,508233191
4,84;4,506848179
4,85;4,505460809
4,86;4,504071271
4,87;4,50267975
4,88;4,501286433
4,89;4,4998915
4,9;4,498495134
4,91;4,49709751
4,92;4,495698805
4,93;4,494299191
4,94;4,492898839
4,95;4,491497918
4,96;4,490096593
4,97;4,488695028
4,98;4,487293386
4,99;4,485891825
5;4,484490503
5,01;4,483089574
5,02;4,481689191
5,03;4,480289504
5,04;4,478890663
5,05;4,477492812
5,06;4,476096097
5,07;4,474700659
5,08;4,473306637
5,09;4,47191417
5,1;4,470523393
5,11;4,469134439
5,12;4,46774744
5,13;4,466362526
5,14;4,464979823
5,15;4,463599456
5,16;4,46222155
5,17;4,460846226
5,18;4,459473602
5,19;4,458103796
5,2;4,456736923
5,21;4,455373098
5,22;4,454012431
5,23;4,452655032
5,24;4,451301008
5,25;4,449950467
5,26;4,448603511
5,27;4,447260242
5,28;4,445920762
5,29;4,444585168
5,3;4,443253557
5,31;4,441926024
5,32;4,440602661
5,33;4,439283561
5,34;4,437968813
5,35;4,436658505
5,36;4,435352721
5,37;4,434051548
5,38;4,432755068
5,39;4,431463361
5,4;4,430176507
5,41;4,428894584
5,42;4,427617667
5,43;4,426345832
5,44;4,42507915
5,45;4,423817693
5,46;4,422561531
5,47;4,421310731
5,48;4,420065361
5,49;4,418825485
5,5;4,417591166
5,51;4,416362466
5,52;4,415139447
5,53;4,413922166
5,54;4,412710681
5,55;4,411505049
5,56;4,410305324
5,57;4,409111558
5,58;4,407923804
5,59;4,406742112
5,6;4,405566531
5,61;4,404397108
5,62;4,40323389
5,63;4,402076921
5,64;4,400926246
5,65;4,399781906
5,66;4,398643942
5,67;4,397512394
5,68;4,3963873
5,69;4,395268697
5,7;4,394156621
5,71;4,393051107
5,72;4,391952188
5,73;4,390859896
5,74;4,389774263
5,75;4,388695317
5,76;4,387623088
5,77;4,386557603
5,78;4,385498888
5,79;4,384446968
5,8;4,383401868
5,81;4,382363611
5,82;4,381332218
5,83;4,38030771
5,84;4,379290107
5,85;4,378279428
5,86;4,37727569
5,87;4,376278909
5,88;4,375289102
5,89;4,374306282
5,9;4,373330464
5,91;4,372361661
5,92;4,371399882
5,93;4,370445141
5,94;4,369497445
5,95;4,368556804
5,96;4,367623226
5,97;4,366696718
5,98;4,365777285
5,99;4,364864934
6;4,363959667
6,01;4,36306149
6,02;4,362170404
6,03;4,361286411
6,04;4,360409513
6,05;4,359539708
6,06;4,358676998
6,07;4,357821379
6,08;4,35697285
6,09;4,356131408
6,1;4,35529705
6,11;4,35446977
6,12;4,353649563
6,13;4,352836424
6,14;4,352030345
6,15;4,35123132
6,16;4,35043934
6,17;4,349654396
6,18;4,34887648
6,19;4,34810558
6,2;4,347341687
6,21;4,346584788
6,22;4,345834872
6,23;4,345091926
6,24;4,344355937
6,25;4,343626891
6,26;4,342904773
6,27;4,342189569
6,28;4,341481263
6,29;4,340779838
6,3;4,340085279
6,31;4,339397567
6,32;4,338716685
6,33;4,338042615
6,34;4,337375337
6,35;4,336714833
6,36;4,336061083
6,37;4,335414066
6,38;4,334773762
6,39;4,334140149
6,4;4,333513205
6,41;4,332892909
6,42;4,332279237
6,43;4,331672168
6,44;4,331071676
6,45;4,330477739
6,46;4,329890332
6,47;4,329309431
6,48;4,32873501
6,49;4,328167043
6,5;4,327605506
6,51;4,327050372
6,52;4,326501614
6,53;4,325959205
6,54;4,325423118
6,55;4,324893326
6,56;4,3243698
6,57;4,323852513
6,58;4,323341436
6,59;4,32283654
6,6;4,322337795
6,61;4,321845173
6,62;4,321358644
6,63;4,320878178
6,64;4,320403744
6,65;4,319935312
6,66;4,319472851
6,67;4,31901633
6,68;4,318565719
6,69;4,318120984
6,7;4,317682096
6,71;4,317249022
6,72;4,316821729
6,73;4,316400186
6,74;4,315984359
6,75;4,315574217
6,76;4,315169726
6,77;4,314770853
6,78;4,314377564
6,79;4,313989828
6,8;4,313607609
6,81;4,313230874
6,82;4,31285959
6,83;4,312493721
6,84;4,312133235
6,85;4,311778096
6,86;4,31142827
6,87;4,311083723
6,88;4,31074442
6,89;4,310410327
6,9;4,310081408
6,91;4,309757628
6,92;4,309438952
6,93;4,309125345
6,94;4,308816773
6,95;4,308513199
6,96;4,308214588
6,97;4,307920905
6,98;4,307632114
6,99;4,30734818
7;4,307069066
7,01;4,306794738
7,02;4,30652516
7,03;4,306260295
7,04;4,306000109
7,05;4,305744565
7,06;4,305493627
7,07;4,30524726
7,08;4,305005427
7,09;4,304768093
7,1;4,304535222
7,11;4,304306777
7,12;4,304082724
7,13;4,303863026
7,14;4,303647647
7,15;4,303436551
7,16;4,303229703
7,17;4,303027067
7,18;4,302828606
7,19;4,302634285
7,2;4,302444069
7,21;4,302257921
7,22;4,302075806
7,23;4,301897688
7,24;4,301723532
7,25;4,301553302
7,26;4,301386962
7,27;4,301224477
7,28;4,301065813
7,29;4,300910932
7,3;4,300759801
7,31;4,300612383
7,32;4,300468645
7,33;4,30032855
7,34;4,300192064
7,35;4,300059152
7,36;4,299929779
7,37;4,299803911
7,38;4,299681512
7,39;4,299562549
7,4;4,299446986
7,41;4,29933479
7,42;4,299225926
7,43;4,29912036
7,44;4,299018058
7,45;4,298918986
7,46;4,29882311
7,47;4,298730397
7,48;4,298640813
7,49;4,298554324
7,5;4,298470897
7,51;4,298390499
7,52;4,298313096
7,53;4,298238656
7,54;4,298167146
7,55;4,298098533
7,56;4,298032784
7,57;4,297969867
7,58;4,297909749
7,59;4,297852399
7,6;4,297797784
7,61;4,297745872
7,62;4,297696631
7,63;4,29765003
7,64;4,297606038
7,65;4,297564622
7,66;4,297525751
7,67;4,297489395
7,68;4,297455523
7,69;4,297424103
7,7;4,297395106
7,71;4,2973685
7,72;4,297344255
7,73;4,297322342
7,74;4,297302729
7,75;4,297285388
7,76;4,297270288
7,77;4,297257401
7,78;4,297246696
7,79;4,297238144
7,8;4,297231717
7,81;4,297227385
7,82;4,29722512
7,83;4,297224893
7,84;4,297226677
7,85;4,297230441
7,86;4,29723616
7,87;4,297243804
7,88;4,297253346
7,89;4,297264758
7,9;4,297278014
7,91;4,297293085
7,92;4,297309946
7,93;4,297328568
7,94;4,297348926
7,95;4,297370993
7,96;4,297394743
7,97;4,297420149
7,98;4,297447185
7,99;4,297475827
8;4,297506047
8,01;4,297537821
8,02;4,297571124
8,03;4,29760593
8,04;4,297642215
8,05;4,297679954
8,06;4,297719121
8,07;4,297759694
8,08;4,297801648
8,09;4,297844958
8,1;4,297889602
8,11;4,297935555
8,12;4,297982793
8,13;4,298031295
8,14;4,298081036
8,15;4,298131994
8,16;4,298184146
8,17;4,29823747
8,18;4,298291942
8,19;4,298347542
8,2;4,298404246
8,21;4,298462034
8,22;4,298520884
8,23;4,298580773
8,24;4,298641682
8,25;4,298703588
8,26;4,298766471
8,27;4,29883031
8,28;4,298895085
8,29;4,298960775
8,3;4,299027361
8,31;4,299094821
8,32;4,299163137
8,33;4,299232288
8,34;4,299302256
8,35;4,29937302
8,36;4,299444563
8,37;4,299516864
8,38;4,299589906
8,39;4,299663669
8,4;4,299738136
8,41;4,299813287
8,42;4,299889106
8,43;4,299965573
8,44;4,300042672
8,45;4,300120385
8,46;4,300198695
8,47;4,300277584
8,48;4,300357036
8,49;4,300437033
8,5;4,300517559
8,51;4,300598598
8,52;4,300680133
8,53;4,300762148
8,54;4,300844628
8,55;4,300927556
8,56;4,301010916
8,57;4,301094694
8,58;4,301178874
8,59;4,301263442
8,6;4,301348381
8,61;4,301433677
8,62;4,301519316
8,63;4,301605283
8,64;4,301691564
8,65;4,301778145
8,66;4,301865012
8,67;4,301952151
8,68;4,302039548
8,69;4,30212719
8,7;4,302215064
8,71;4,302303156
8,72;4,302391454
8,73;4,302479945
8,74;4,302568615
8,75;4,302657453
8,76;4,302746446
8,77;4,302835582
8,78;4,302924849
8,79;4,303014234
8,8;4,303103727
8,81;4,303193316
8,82;4,303282988
8,83;4,303372734
8,84;4,303462541
8,85;4,303552399
8,86;4,303642297
8,87;4,303732223
8,88;4,303822169
8,89;4,303912122
8,9;4,304002074
8,91;4,304092013
8,92;4,30418193
8,93;4,304271815
8,94;4,304361658
8,95;4,30445145
8,96;4,304541181
8,97;4,304630842
8,98;4,304720424
8,99;4,304809917
9;4,304899314
9,01;4,304988605
9,02;4,305077781
9,03;4,305166835
9,04;4,305255757
9,05;4,30534454
9,06;4,305433175
9,07;4,305521655
9,08;4,305609971
9,09;4,305698117
9,1;4,305786083
9,11;4,305873864
9,12;4,305961452
9,13;4,306048839
9,14;4,306136018
9,15;4,306222983
9,16;4,306309727
9,17;4,306396242
9,18;4,306482523
9,19;4,306568562
9,2;4,306654355
9,21;4,306739893
9,22;4,306825171
9,23;4,306910184
9,24;4,306994925
9,25;4,307079388
9,26;4,307163568
9,27;4,30724746
9,28;4,307331057
9,29;4,307414355
9,3;4,307497347
9,31;4,30758003
9,32;4,307662398
9,33;4,307744446
9,34;4,30782617
9,35;4,307907564
9,36;4,307988624
9,37;4,308069346
9,38;4,308149725
9,39;4,308229757
9,4;4,308309437
9,41;4,308388762
9,42;4,308467728
9,43;4,30854633
9,44;4,308624565
9,45;4,30870243
9,46;4,30877992
9,47;4,308857031
9,48;4,308933762
9,49;4,309010107
9,5;4,309086064
9,51;4,309161631
9,52;4,309236802
9,53;4,309311577
9,54;4,309385951
9,55;4,309459923
9,56;4,309533488
9,57;4,309606645
9,58;4,309679392
9,59;4,309751724
9,6;4,309823641
9,61;4,30989514
9,62;4,309966218
9,63;4,310036874
9,64;4,310107104
9,65;4,310176909
9,66;4,310246284
9,67;4,310315229
9,68;4,310383742
9,69;4,310451821
9,7;4,310519464
9,71;4,31058667
9,72;4,310653437
9,73;4,310719764
9,74;4,31078565
9,75;4,310851093
9,76;4,310916092
9,77;4,310980645
9,78;4,311044753
9,79;4,311108413
9,8;4,311171626
9,81;4,311234389
9,82;4,311296702
9,83;4,311358564
9,84;4,311419976
9,85;4,311480935
9,86;4,311541441
9,87;4,311601495
9,88;4,311661094
9,89;4,31172024
9,9;4,311778932
9,91;4,311837169
9,92;4,311894951
9,93;4,311952277
9,94;4,312009149
9,95;4,312065566
9,96;4,312121527
9,97;4,312177033
9,98;4,312232083
9,99;4,312286679
10;4,31234082
10,01;4,312394506
10,02;4,312447737
10,03;4,312500515
10,04;4,312552839
10,05;4,31260471
10,06;4,312656127
10,07;4,312707093
10,08;4,312757607
10,09;4,312807669
10,1;4,312857281
10,11;4,312906444
10,12;4,312955157
